origin,destination,trips
1,1,16
1,2,11
1,3,6
1,4,2
1,5,7
1,6,18
1,7,12
1,8,4
1,9,9
1,10,20
2,1,6
2,2,5
2,3,3
2,4,18
2,5,2
2,6,8
2,7,11
2,8,2
2,9,18
2,10,14
3,1,10
3,2,18
3,3,19
3,4,4
3,5,12
3,6,10
3,7,18
3,8,5
3,9,8
3,10,14
4,1,18
4,2,17
4,3,1
4,4,8
4,5,12
4,6,17
4,7,1
4,8,10
4,9,8
4,10,4
5,1,19
5,2,4
5,3,15
5,4,20
5,5,16
5,6,19
5,7,17
5,8,6
5,9,8
5,10,18
6,1,16
6,2,6
6,3,4
6,4,3
6,5,18
6,6,13
6,7,6
6,8,7
6,9,17
6,10,6
7,1,9
7,2,9
7,3,16
7,4,13
7,5,5
7,6,9
7,7,17
7,8,15
7,9,19
7,10,1
8,1,8
8,2,14
8,3,12
8,4,3
8,5,19
8,6,12
8,7,16
8,8,6
8,9,18
8,10,6
9,1,4
9,2,10
9,3,7
9,4,14
9,5,10
9,6,19
9,7,13
9,8,12
9,9,4
9,10,18
10,1,20
10,2,17
10,3,4
10,4,17
10,5,16
10,6,18
10,7,6
10,8,8
10,9,15
10,10,13
